Category,Part,BOM Qty,In Stock,Net Need,Buy Qty,Notes,Search Term,Tayda_Link,Origin
PCB,RED LLAMA DIY PCB,1,0,1,1,Main Board,RED LLAMA DIY PCB,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=RED+LLAMA+DIY+PCB"", ""Buy"")",Circuit Board
ICs,CD4049,1,0,1,1,Socket Recommended,CD4049,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=CD4049"", ""Buy"")",Circuit Board
Diodes,LED,1,0,1,10,,LED 3mm,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=LED+3mm"", ""Buy"")",Hardware Kit
Diodes,1N4001,1,0,1,10,,1N4001,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1N4001"", ""Buy"")",Circuit Board
Potentiometers,10k-A,1,0,1,1,,10k ohm Logarithmic potentiometer,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=10k+ohm+Logarithmic+potentiometer"", ""Buy"")",Circuit Board
Potentiometers,1M-B,1,0,1,1,,1M ohm Linear potentiometer,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1M+ohm+Linear+potentiometer"", ""Buy"")",Circuit Board
Capacitors,50p,1,0,1,6,Rec: Class 1 Ceramic (C0G / NP0),50pF multilayer,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=50pF+multilayer"", ""Buy"")",Circuit Board
Capacitors,100p,1,0,1,6,Rec: Class 1 Ceramic (C0G / NP0),100pF multilayer,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=100pF+multilayer"", ""Buy"")",Circuit Board
Capacitors,33n,1,0,1,6,Rec: Box Film,33nF Box Film,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=33nF+Box+Film"", ""Buy"")",Circuit Board
Capacitors,68n,1,0,1,6,Rec: Box Film,68nF Box Film,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=68nF+Box+Film"", ""Buy"")",Circuit Board
